"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"FF_MN008","1303","201902010000","4.1","3","0"
"FF_MN008","1303","201902010100","4.1","3","0"
"FF_MN008","1303","201902010200","3.7","3","0"
"FF_MN008","1303","201902010300","4.1","3","0"
"FF_MN008","1303","201902010400","3.7","3","0"
"FF_MN008","1303","201902010500","3","3","0"
"FF_MN008","1303","201902010600","3.6","3","0"
"FF_MN008","1303","201902010700","2.5","3","0"
"FF_MN008","1303","201902010800","2.5","3","0"
"FF_MN008","1303","201902010900","3.2","3","0"
"FF_MN008","1303","201902011000","3.1","3","0"
"FF_MN008","1303","201902011100","3.8","3","0"
"FF_MN008","1303","201902011200","5.1","3","0"
"FF_MN008","1303","201902011300","3.8","3","0"
"FF_MN008","1303","201902011400","4","3","0"
"FF_MN008","1303","201902011500","3.6","3","0"
"FF_MN008","1303","201902011600","3.2","3","0"
"FF_MN008","1303","201902011700","1.9","3","0"
"FF_MN008","1303","201902011800","2.2","3","0"
"FF_MN008","1303","201902011900","2","3","0"
"FF_MN008","1303","201902012000","1.6","3","0"
"FF_MN008","1303","201902012100","1.8","3","0"
"FF_MN008","1303","201902012200","2.4","3","0"
"FF_MN008","1303","201902012300","1.4","3","0"
"FF_MN008","1303","201902020000","1.8","3","0"
"FF_MN008","1303","201902020100","1.9","3","0"
"FF_MN008","1303","201902020200","3.4","3","0"
"FF_MN008","1303","201902020300","2.3","3","0"
"FF_MN008","1303","201902020400","1.4","3","0"
"FF_MN008","1303","201902020500","2.3","3","0"
"FF_MN008","1303","201902020600","1.3","3","0"
"FF_MN008","1303","201902020700","2.9","3","0"
"FF_MN008","1303","201902020800","2.1","3","0"
"FF_MN008","1303","201902020900","2.9","3","0"
"FF_MN008","1303","201902021000","1.9","3","0"
"FF_MN008","1303","201902021100","3.4","3","0"
"FF_MN008","1303","201902021200","3.7","3","0"
"FF_MN008","1303","201902021300","2.2","3","0"
"FF_MN008","1303","201902021400","2.7","3","0"
"FF_MN008","1303","201902021500","4.4","3","0"
"FF_MN008","1303","201902021600","3.2","3","0"
"FF_MN008","1303","201902021700","3.7","3","0"
"FF_MN008","1303","201902021800","3.9","3","0"
"FF_MN008","1303","201902021900","4.3","3","0"
"FF_MN008","1303","201902022000","3.9","3","0"
"FF_MN008","1303","201902022100","4.1","3","0"
"FF_MN008","1303","201902022200","1.7","3","0"
"FF_MN008","1303","201902022300","3.9","3","0"
"FF_MN008","1303","201902030000","3.1","3","0"
"FF_MN008","1303","201902030100","4","3","0"
"FF_MN008","1303","201902030200","2.8","3","0"
"FF_MN008","1303","201902030300","2.7","3","0"
"FF_MN008","1303","201902030400","2.8","3","0"
"FF_MN008","1303","201902030500","2","3","0"
"FF_MN008","1303","201902030600","1.6","3","0"
"FF_MN008","1303","201902030700","2.6","3","0"
"FF_MN008","1303","201902030800","3.1","3","0"
"FF_MN008","1303","201902030900","2.7","3","0"
"FF_MN008","1303","201902031000","3.7","3","0"
"FF_MN008","1303","201902031100","3.8","3","0"
"FF_MN008","1303","201902031200","3.2","3","0"
"FF_MN008","1303","201902031300","3.4","3","0"
"FF_MN008","1303","201902031400","3.2","3","0"
"FF_MN008","1303","201902031500","1.7","3","0"
"FF_MN008","1303","201902031600","2.6","3","0"
"FF_MN008","1303","201902031700","1.4","3","0"
"FF_MN008","1303","201902031800","0.9","3","0"
"FF_MN008","1303","201902031900","0.9","3","0"
"FF_MN008","1303","201902032000","1.1","3","0"
"FF_MN008","1303","201902032100","2","3","0"
"FF_MN008","1303","201902032200","1.9","3","0"
"FF_MN008","1303","201902032300","2.7","3","0"
"FF_MN008","1303","201902040000","2.1","3","0"
"FF_MN008","1303","201902040100","2.9","3","0"
"FF_MN008","1303","201902040200","3.4","3","0"
"FF_MN008","1303","201902040300","1.8","3","0"
"FF_MN008","1303","201902040400","1.9","3","0"
"FF_MN008","1303","201902040500","2.3","3","0"
"FF_MN008","1303","201902040600","2.9","3","0"
"FF_MN008","1303","201902040700","2.9","3","0"
"FF_MN008","1303","201902040800","3.8","3","0"
"FF_MN008","1303","201902040900","4.6","3","0"
"FF_MN008","1303","201902041000","4.7","3","0"
"FF_MN008","1303","201902041100","5.2","3","0"
"FF_MN008","1303","201902041200","5","3","0"
"FF_MN008","1303","201902041300","3.7","3","0"
"FF_MN008","1303","201902041400","3.9","3","0"
"FF_MN008","1303","201902041500","4.4","3","0"
"FF_MN008","1303","201902041600","4.8","3","0"
"FF_MN008","1303","201902041700","5.1","3","0"
"FF_MN008","1303","201902041800","4.9","3","0"
"FF_MN008","1303","201902041900","5.2","3","0"
"FF_MN008","1303","201902042000","4.8","3","0"
"FF_MN008","1303","201902042100","5.2","3","0"
"FF_MN008","1303","201902042200","6.6","3","0"
"FF_MN008","1303","201902042300","5.7","3","0"
"FF_MN008","1303","201902050000","3.9","3","0"
"FF_MN008","1303","201902050100","3","3","0"
"FF_MN008","1303","201902050200","2.9","3","0"
"FF_MN008","1303","201902050300","2.5","3","0"
"FF_MN008","1303","201902050400","3","3","0"
"FF_MN008","1303","201902050500","3","3","0"
"FF_MN008","1303","201902050600","3.8","3","0"
"FF_MN008","1303","201902050700","3","3","0"
"FF_MN008","1303","201902050800","3.6","3","0"
"FF_MN008","1303","201902050900","3.3","3","0"
"FF_MN008","1303","201902051000","2.7","3","0"
"FF_MN008","1303","201902051100","2.7","3","0"
"FF_MN008","1303","201902051200","2.9","3","0"
"FF_MN008","1303","201902051300","3","3","0"
"FF_MN008","1303","201902051400","2.3","3","0"
"FF_MN008","1303","201902051500","2.1","3","0"
"FF_MN008","1303","201902051600","1.6","3","0"
"FF_MN008","1303","201902051700","2","3","0"
"FF_MN008","1303","201902051800","1.8","3","0"
"FF_MN008","1303","201902051900","2.7","3","0"
"FF_MN008","1303","201902052000","2.3","3","0"
"FF_MN008","1303","201902052100","2.2","3","0"
"FF_MN008","1303","201902052200","2.2","3","0"
"FF_MN008","1303","201902052300","2.9","3","0"
"FF_MN008","1303","201902060000","3.7","3","0"
"FF_MN008","1303","201902060100","2.8","3","0"
"FF_MN008","1303","201902060200","3","3","0"
"FF_MN008","1303","201902060300","3.2","3","0"
"FF_MN008","1303","201902060400","3.9","3","0"
"FF_MN008","1303","201902060500","3.9","3","0"
"FF_MN008","1303","201902060600","3.3","3","0"
"FF_MN008","1303","201902060700","4.2","3","0"
"FF_MN008","1303","201902060800","3.8","3","0"
"FF_MN008","1303","201902060900","4.2","3","0"
"FF_MN008","1303","201902061000","4.5","3","0"
"FF_MN008","1303","201902061100","4.3","3","0"
"FF_MN008","1303","201902061200","4.6","3","0"
"FF_MN008","1303","201902061300","3.8","3","0"
"FF_MN008","1303","201902061400","3.8","3","0"
"FF_MN008","1303","201902061500","4.1","3","0"
"FF_MN008","1303","201902061600","3.9","3","0"
"FF_MN008","1303","201902061700","4.2","3","0"
"FF_MN008","1303","201902061800","3.6","3","0"
"FF_MN008","1303","201902061900","4.9","3","0"
"FF_MN008","1303","201902062000","4.1","3","0"
"FF_MN008","1303","201902062100","5.3","3","0"
"FF_MN008","1303","201902062200","4.3","3","0"
"FF_MN008","1303","201902062300","4.9","3","0"
"FF_MN008","1303","201902070000","5.9","3","0"
"FF_MN008","1303","201902070100","5.7","3","0"
"FF_MN008","1303","201902070200","6.3","3","0"
"FF_MN008","1303","201902070300","7","3","0"
"FF_MN008","1303","201902070400","6.7","3","0"
"FF_MN008","1303","201902070500","5.6","3","0"
"FF_MN008","1303","201902070600","5.9","3","0"
"FF_MN008","1303","201902070700","6","3","0"
"FF_MN008","1303","201902070800","4.3","3","0"
"FF_MN008","1303","201902070900","5.5","3","0"
"FF_MN008","1303","201902071000","7.3","3","0"
"FF_MN008","1303","201902071100","6.1","3","0"
"FF_MN008","1303","201902071200","6.8","3","0"
"FF_MN008","1303","201902071300","6.5","3","0"
"FF_MN008","1303","201902071400","6.5","3","0"
"FF_MN008","1303","201902071500","6.5","3","0"
"FF_MN008","1303","201902071600","7.3","3","0"
"FF_MN008","1303","201902071700","5.5","3","0"
"FF_MN008","1303","201902071800","6.2","3","0"
"FF_MN008","1303","201902071900","6.7","3","0"
"FF_MN008","1303","201902072000","6.3","3","0"
"FF_MN008","1303","201902072100","5.7","3","0"
"FF_MN008","1303","201902072200","5.9","3","0"
"FF_MN008","1303","201902072300","5.7","3","0"
"FF_MN008","1303","201902080000","5.5","3","0"
"FF_MN008","1303","201902080100","5.3","3","0"
"FF_MN008","1303","201902080200","4.7","3","0"
"FF_MN008","1303","201902080300","5.6","3","0"
"FF_MN008","1303","201902080400","4.3","3","0"
"FF_MN008","1303","201902080500","3.8","3","0"
"FF_MN008","1303","201902080600","4.2","3","0"
"FF_MN008","1303","201902080700","4.1","3","0"
"FF_MN008","1303","201902080800","4.3","3","0"
"FF_MN008","1303","201902080900","5","3","0"
"FF_MN008","1303","201902081000","5.7","3","0"
"FF_MN008","1303","201902081100","5.1","3","0"
"FF_MN008","1303","201902081200","5.1","3","0"
"FF_MN008","1303","201902081300","5.5","3","0"
"FF_MN008","1303","201902081400","5.3","3","0"
"FF_MN008","1303","201902081500","6","3","0"
"FF_MN008","1303","201902081600","6.3","3","0"
"FF_MN008","1303","201902081700","6","3","0"
"FF_MN008","1303","201902081800","5.7","3","0"
"FF_MN008","1303","201902081900","5.2","3","0"
"FF_MN008","1303","201902082000","5.8","3","0"
"FF_MN008","1303","201902082100","7.2","3","0"
"FF_MN008","1303","201902082200","6.1","3","0"
"FF_MN008","1303","201902082300","5.7","3","0"
"FF_MN008","1303","201902090000","5.7","3","0"
"FF_MN008","1303","201902090100","5.4","3","0"
"FF_MN008","1303","201902090200","4.9","3","0"
"FF_MN008","1303","201902090300","4.4","3","0"
"FF_MN008","1303","201902090400","6.9","3","0"
"FF_MN008","1303","201902090500","7.2","3","0"
"FF_MN008","1303","201902090600","7.6","3","0"
"FF_MN008","1303","201902090700","8.4","3","0"
"FF_MN008","1303","201902090800","6.6","3","0"
"FF_MN008","1303","201902090900","7.7","3","0"
"FF_MN008","1303","201902091000","8.8","3","0"
"FF_MN008","1303","201902091100","7.7","3","0"
"FF_MN008","1303","201902091200","10","3","0"
"FF_MN008","1303","201902091300","10.2","3","0"
"FF_MN008","1303","201902091400","9.7","3","0"
"FF_MN008","1303","201902091500","7.4","3","0"
"FF_MN008","1303","201902091600","5.3","3","0"
"FF_MN008","1303","201902091700","6.3","3","0"
"FF_MN008","1303","201902091800","4.9","3","0"
"FF_MN008","1303","201902091900","6.3","3","0"
"FF_MN008","1303","201902092000","4.5","3","0"
"FF_MN008","1303","201902092100","3.8","3","0"
"FF_MN008","1303","201902092200","4.4","3","0"
"FF_MN008","1303","201902092300","3.5","3","0"
"FF_MN008","1303","201902100000","3.4","3","0"
"FF_MN008","1303","201902100100","3.5","3","0"
"FF_MN008","1303","201902100200","4.1","3","0"
"FF_MN008","1303","201902100300","6.2","3","0"
"FF_MN008","1303","201902100400","6.1","3","0"
"FF_MN008","1303","201902100500","7.2","3","0"
"FF_MN008","1303","201902100600","7.5","3","0"
"FF_MN008","1303","201902100700","6","3","0"
"FF_MN008","1303","201902100800","6.5","3","0"
"FF_MN008","1303","201902100900","5.9","3","0"
"FF_MN008","1303","201902101000","5.2","3","0"
"FF_MN008","1303","201902101100","6.2","3","0"
"FF_MN008","1303","201902101200","7","3","0"
"FF_MN008","1303","201902101300","6.2","3","0"
"FF_MN008","1303","201902101400","5.2","3","0"
"FF_MN008","1303","201902101500","5.6","3","0"
"FF_MN008","1303","201902101600","5.8","3","0"
"FF_MN008","1303","201902101700","6.1","3","0"
"FF_MN008","1303","201902101800","7","3","0"
"FF_MN008","1303","201902101900","6.9","3","0"
"FF_MN008","1303","201902102000","5.9","3","0"
"FF_MN008","1303","201902102100","5.4","3","0"
"FF_MN008","1303","201902102200","4.6","3","0"
"FF_MN008","1303","201902102300","4.6","3","0"
"FF_MN008","1303","201902110000","3.8","3","0"
"FF_MN008","1303","201902110100","4.2","3","0"
"FF_MN008","1303","201902110200","3","3","0"
"FF_MN008","1303","201902110300","3.7","3","0"
"FF_MN008","1303","201902110400","3.8","3","0"
"FF_MN008","1303","201902110500","3.5","3","0"
"FF_MN008","1303","201902110600","3","3","0"
"FF_MN008","1303","201902110700","4.1","3","0"
"FF_MN008","1303","201902110800","4","3","0"
"FF_MN008","1303","201902110900","3.4","3","0"
"FF_MN008","1303","201902111000","3.6","3","0"
"FF_MN008","1303","201902111100","3.9","3","0"
"FF_MN008","1303","201902111200","4.1","3","0"
"FF_MN008","1303","201902111300","6.2","3","0"
"FF_MN008","1303","201902111400","4.2","3","0"
"FF_MN008","1303","201902111500","3.1","3","0"
"FF_MN008","1303","201902111600","4.4","3","0"
"FF_MN008","1303","201902111700","3.7","3","0"
"FF_MN008","1303","201902111800","3.5","3","0"
"FF_MN008","1303","201902111900","2.8","3","0"
"FF_MN008","1303","201902112000","1.8","3","0"
"FF_MN008","1303","201902112100","1.3","3","0"
"FF_MN008","1303","201902112200","1.7","3","0"
"FF_MN008","1303","201902112300","1.7","3","0"
"FF_MN008","1303","201902120000","1.5","3","0"
"FF_MN008","1303","201902120100","1.8","3","0"
"FF_MN008","1303","201902120200","2.1","3","0"
"FF_MN008","1303","201902120300","2.2","3","0"
"FF_MN008","1303","201902120400","1.9","3","0"
"FF_MN008","1303","201902120500","2.2","3","0"
"FF_MN008","1303","201902120600","2.3","3","0"
"FF_MN008","1303","201902120700","2.3","3","0"
"FF_MN008","1303","201902120800","2.2","3","0"
"FF_MN008","1303","201902120900","2.1","3","0"
"FF_MN008","1303","201902121000","2.7","3","0"
"FF_MN008","1303","201902121100","2.9","3","0"
"FF_MN008","1303","201902121200","3.4","3","0"
"FF_MN008","1303","201902121300","3.3","3","0"
"FF_MN008","1303","201902121400","2.7","3","0"
"FF_MN008","1303","201902121500","3.7","3","0"
"FF_MN008","1303","201902121600","3.3","3","0"
"FF_MN008","1303","201902121700","3.5","3","0"
"FF_MN008","1303","201902121800","2.5","3","0"
"FF_MN008","1303","201902121900","2.7","3","0"
"FF_MN008","1303","201902122000","3.7","3","0"
"FF_MN008","1303","201902122100","3.5","3","0"
"FF_MN008","1303","201902122200","3.7","3","0"
"FF_MN008","1303","201902122300","4","3","0"
"FF_MN008","1303","201902130000","4.2","3","0"
"FF_MN008","1303","201902130100","3.9","3","0"
"FF_MN008","1303","201902130200","4.3","3","0"
"FF_MN008","1303","201902130300","3","3","0"
"FF_MN008","1303","201902130400","2.4","3","0"
"FF_MN008","1303","201902130500","3.7","3","0"
"FF_MN008","1303","201902130600","4.5","3","0"
"FF_MN008","1303","201902130700","3.4","3","0"
"FF_MN008","1303","201902130800","4.5","3","0"
"FF_MN008","1303","201902130900","3.5","3","0"
"FF_MN008","1303","201902131000","3.5","3","0"
"FF_MN008","1303","201902131100","4.2","3","0"
"FF_MN008","1303","201902131200","3.1","3","0"
"FF_MN008","1303","201902131300","3.2","3","0"
"FF_MN008","1303","201902131400","2.8","3","0"
"FF_MN008","1303","201902131500","2.3","3","0"
"FF_MN008","1303","201902131600","2.4","3","0"
"FF_MN008","1303","201902131700","1.2","3","0"
"FF_MN008","1303","201902131800","1.1","3","0"
"FF_MN008","1303","201902131900","1.4","3","0"
"FF_MN008","1303","201902132000","1.8","3","0"
"FF_MN008","1303","201902132100","2.1","3","0"
"FF_MN008","1303","201902132200","3.1","3","0"
"FF_MN008","1303","201902132300","3.4","3","0"
"FF_MN008","1303","201902140000","2.8","3","0"
"FF_MN008","1303","201902140100","2.6","3","0"
"FF_MN008","1303","201902140200","2.2","3","0"
"FF_MN008","1303","201902140300","2.3","3","0"
"FF_MN008","1303","201902140400","2.2","3","0"
"FF_MN008","1303","201902140500","2.4","3","0"
"FF_MN008","1303","201902140600","2.5","3","0"
"FF_MN008","1303","201902140700","2.4","3","0"
"FF_MN008","1303","201902140800","2.7","3","0"
"FF_MN008","1303","201902140900","2.2","3","0"
"FF_MN008","1303","201902141000","2.5","3","0"
"FF_MN008","1303","201902141100","2.3","3","0"
"FF_MN008","1303","201902141200","2.9","3","0"
"FF_MN008","1303","201902141300","2.1","3","0"
"FF_MN008","1303","201902141400","2","3","0"
"FF_MN008","1303","201902141500","1.8","3","0"
"FF_MN008","1303","201902141600","1.8","3","0"
"FF_MN008","1303","201902141700","1.7","3","0"
"FF_MN008","1303","201902141800","2","3","0"
"FF_MN008","1303","201902141900","2.2","3","0"
"FF_MN008","1303","201902142000","2.7","3","0"
"FF_MN008","1303","201902142100","2.6","3","0"
"FF_MN008","1303","201902142200","3.6","3","0"
"FF_MN008","1303","201902142300","3.5","3","0"
"FF_MN008","1303","201902150000","3.2","3","0"
"FF_MN008","1303","201902150100","4.7","3","0"
"FF_MN008","1303","201902150200","4.3","3","0"
"FF_MN008","1303","201902150300","3.2","3","0"
"FF_MN008","1303","201902150400","3.1","3","0"
"FF_MN008","1303","201902150500","3.6","3","0"
"FF_MN008","1303","201902150600","3","3","0"
"FF_MN008","1303","201902150700","3","3","0"
"FF_MN008","1303","201902150800","4.2","3","0"
"FF_MN008","1303","201902150900","4.9","3","0"
"FF_MN008","1303","201902151000","5.4","3","0"
"FF_MN008","1303","201902151100","3.9","3","0"
"FF_MN008","1303","201902151200","5","3","0"
"FF_MN008","1303","201902151300","3.6","3","0"
"FF_MN008","1303","201902151400","3.9","3","0"
"FF_MN008","1303","201902151500","3.8","3","0"
"FF_MN008","1303","201902151600","3.2","3","0"
"FF_MN008","1303","201902151700","4.9","3","0"
"FF_MN008","1303","201902151800","4.7","3","0"
"FF_MN008","1303","201902151900","5.4","3","0"
"FF_MN008","1303","201902152000","6.3","3","0"
"FF_MN008","1303","201902152100","6.2","3","0"
"FF_MN008","1303","201902152200","5.6","3","0"
"FF_MN008","1303","201902152300","4.7","3","0"
"FF_MN008","1303","201902160000","4.2","3","0"
"FF_MN008","1303","201902160100","3.8","3","0"
"FF_MN008","1303","201902160200","3.1","3","0"
"FF_MN008","1303","201902160300","3.1","3","0"
"FF_MN008","1303","201902160400","2.9","3","0"
"FF_MN008","1303","201902160500","2.3","3","0"
"FF_MN008","1303","201902160600","2.4","3","0"
"FF_MN008","1303","201902160700","3.4","3","0"
"FF_MN008","1303","201902160800","2.9","3","0"
"FF_MN008","1303","201902160900","2.9","3","0"
"FF_MN008","1303","201902161000","3.8","3","0"
"FF_MN008","1303","201902161100","4.9","3","0"
"FF_MN008","1303","201902161200","3","3","0"
"FF_MN008","1303","201902161300","2.7","3","0"
"FF_MN008","1303","201902161400","4.5","3","0"
"FF_MN008","1303","201902161500","3.3","3","0"
"FF_MN008","1303","201902161600","2.7","3","0"
"FF_MN008","1303","201902161700","2.2","3","0"
"FF_MN008","1303","201902161800","1.2","3","0"
"FF_MN008","1303","201902161900","1.5","3","0"
"FF_MN008","1303","201902162000","1.4","3","0"
"FF_MN008","1303","201902162100","2.1","3","0"
"FF_MN008","1303","201902162200","2.1","3","0"
"FF_MN008","1303","201902162300","1.9","3","0"
"FF_MN008","1303","201902170000","2.5","3","0"
"FF_MN008","1303","201902170100","2.6","3","0"
"FF_MN008","1303","201902170200","2.2","3","0"
"FF_MN008","1303","201902170300","2.2","3","0"
"FF_MN008","1303","201902170400","2.2","3","0"
"FF_MN008","1303","201902170500","2.5","3","0"
"FF_MN008","1303","201902170600","2.2","3","0"
"FF_MN008","1303","201902170700","2.3","3","0"
"FF_MN008","1303","201902170800","2.9","3","0"
"FF_MN008","1303","201902170900","2.5","3","0"
"FF_MN008","1303","201902171000","2.6","3","0"
"FF_MN008","1303","201902171100","3.1","3","0"
"FF_MN008","1303","201902171200","3.5","3","0"
"FF_MN008","1303","201902171300","5.1","3","0"
"FF_MN008","1303","201902171400","3.8","3","0"
"FF_MN008","1303","201902171500","3.6","3","0"
"FF_MN008","1303","201902171600","2.2","3","0"
"FF_MN008","1303","201902171700","3.2","3","0"
"FF_MN008","1303","201902171800","4","3","0"
"FF_MN008","1303","201902171900","4.2","3","0"
"FF_MN008","1303","201902172000","3","3","0"
"FF_MN008","1303","201902172100","3.5","3","0"
"FF_MN008","1303","201902172200","3.2","3","0"
"FF_MN008","1303","201902172300","2.7","3","0"
"FF_MN008","1303","201902180000","2.1","3","0"
"FF_MN008","1303","201902180100","2.1","3","0"
"FF_MN008","1303","201902180200","2.7","3","0"
"FF_MN008","1303","201902180300","2.4","3","0"
"FF_MN008","1303","201902180400","2.2","3","0"
"FF_MN008","1303","201902180500","2.3","3","0"
"FF_MN008","1303","201902180600","2.4","3","0"
"FF_MN008","1303","201902180700","2.6","3","0"
"FF_MN008","1303","201902180800","2.5","3","0"
"FF_MN008","1303","201902180900","2.6","3","0"
"FF_MN008","1303","201902181000","3.6","3","0"
"FF_MN008","1303","201902181100","3.2","3","0"
"FF_MN008","1303","201902181200","2.8","3","0"
"FF_MN008","1303","201902181300","3.2","3","0"
"FF_MN008","1303","201902181400","2.8","3","0"
"FF_MN008","1303","201902181500","3.2","3","0"
"FF_MN008","1303","201902181600","1.7","3","0"
"FF_MN008","1303","201902181700","3.4","3","0"
"FF_MN008","1303","201902181800","4","3","0"
"FF_MN008","1303","201902181900","3.2","3","0"
"FF_MN008","1303","201902182000","2.2","3","0"
"FF_MN008","1303","201902182100","1.7","3","0"
"FF_MN008","1303","201902182200","2","3","0"
"FF_MN008","1303","201902182300","2.7","3","0"
"FF_MN008","1303","201902190000","3.3","3","0"
"FF_MN008","1303","201902190100","4.3","3","0"
"FF_MN008","1303","201902190200","3.6","3","0"
"FF_MN008","1303","201902190300","2.9","3","0"
"FF_MN008","1303","201902190400","2.8","3","0"
"FF_MN008","1303","201902190500","2.9","3","0"
"FF_MN008","1303","201902190600","3.3","3","0"
"FF_MN008","1303","201902190700","3.8","3","0"
"FF_MN008","1303","201902190800","4.1","3","0"
"FF_MN008","1303","201902190900","4.4","3","0"
"FF_MN008","1303","201902191000","4.5","3","0"
"FF_MN008","1303","201902191100","6.1","3","0"
"FF_MN008","1303","201902191200","5","3","0"
"FF_MN008","1303","201902191300","4.4","3","0"
"FF_MN008","1303","201902191400","5","3","0"
"FF_MN008","1303","201902191500","5.1","3","0"
"FF_MN008","1303","201902191600","4.4","3","0"
"FF_MN008","1303","201902191700","4.5","3","0"
"FF_MN008","1303","201902191800","2.9","3","0"
"FF_MN008","1303","201902191900","3","3","0"
"FF_MN008","1303","201902192000","2.9","3","0"
"FF_MN008","1303","201902192100","2.6","3","0"
"FF_MN008","1303","201902192200","2.9","3","0"
"FF_MN008","1303","201902192300","2.9","3","0"
"FF_MN008","1303","201902200000","3.2","3","0"
"FF_MN008","1303","201902200100","3.2","3","0"
"FF_MN008","1303","201902200200","2.6","3","0"
"FF_MN008","1303","201902200300","2.6","3","0"
"FF_MN008","1303","201902200400","3.1","3","0"
"FF_MN008","1303","201902200500","3.4","3","0"
"FF_MN008","1303","201902200600","3.4","3","0"
"FF_MN008","1303","201902200700","3.2","3","0"
"FF_MN008","1303","201902200800","3.5","3","0"
"FF_MN008","1303","201902200900","3.4","3","0"
"FF_MN008","1303","201902201000","2.9","3","0"
"FF_MN008","1303","201902201100","3.1","3","0"
"FF_MN008","1303","201902201200","3.5","3","0"
"FF_MN008","1303","201902201300","4","3","0"
"FF_MN008","1303","201902201400","3.5","3","0"
"FF_MN008","1303","201902201500","4.3","3","0"
"FF_MN008","1303","201902201600","3.5","3","0"
"FF_MN008","1303","201902201700","2.6","3","0"
"FF_MN008","1303","201902201800","2.1","3","0"
"FF_MN008","1303","201902201900","2.2","3","0"
"FF_MN008","1303","201902202000","2.5","3","0"
"FF_MN008","1303","201902202100","3","3","0"
"FF_MN008","1303","201902202200","3.3","3","0"
"FF_MN008","1303","201902202300","3.4","3","0"
"FF_MN008","1303","201902210000","3.2","3","0"
"FF_MN008","1303","201902210100","2.7","3","0"
"FF_MN008","1303","201902210200","2","3","0"
"FF_MN008","1303","201902210300","1.6","3","0"
"FF_MN008","1303","201902210400","2.7","3","0"
"FF_MN008","1303","201902210500","3.1","3","0"
"FF_MN008","1303","201902210600","3.4","3","0"
"FF_MN008","1303","201902210700","3","3","0"
"FF_MN008","1303","201902210800","3.4","3","0"
"FF_MN008","1303","201902210900","3.7","3","0"
"FF_MN008","1303","201902211000","4.5","3","0"
"FF_MN008","1303","201902211100","3.3","3","0"
"FF_MN008","1303","201902211200","3.8","3","0"
"FF_MN008","1303","201902211300","5.2","3","0"
"FF_MN008","1303","201902211400","3.6","3","0"
"FF_MN008","1303","201902211500","3.9","3","0"
"FF_MN008","1303","201902211600","3.2","3","0"
"FF_MN008","1303","201902211700","3.1","3","0"
"FF_MN008","1303","201902211800","2.5","3","0"
"FF_MN008","1303","201902211900","2.5","3","0"
"FF_MN008","1303","201902212000","2.4","3","0"
"FF_MN008","1303","201902212100","2","3","0"
"FF_MN008","1303","201902212200","1.7","3","0"
"FF_MN008","1303","201902212300","2.1","3","0"
"FF_MN008","1303","201902220000","1.2","3","0"
"FF_MN008","1303","201902220100","1.3","3","0"
"FF_MN008","1303","201902220200","1.6","3","0"
"FF_MN008","1303","201902220300","1.7","3","0"
"FF_MN008","1303","201902220400","1.7","3","0"
"FF_MN008","1303","201902220500","1.6","3","0"
"FF_MN008","1303","201902220600","1.8","3","0"
"FF_MN008","1303","201902220700","1.6","3","0"
"FF_MN008","1303","201902220800","1.8","3","0"
"FF_MN008","1303","201902220900","1.1","3","0"
"FF_MN008","1303","201902221000","1.9","3","0"
"FF_MN008","1303","201902221100","2","3","0"
"FF_MN008","1303","201902221200","2.2","3","0"
"FF_MN008","1303","201902221300","3.3","3","0"
"FF_MN008","1303","201902221400","3.7","3","0"
"FF_MN008","1303","201902221500","3.2","3","0"
"FF_MN008","1303","201902221600","2.8","3","0"
"FF_MN008","1303","201902221700","2.3","3","0"
"FF_MN008","1303","201902221800","2","3","0"
"FF_MN008","1303","201902221900","2","3","0"
"FF_MN008","1303","201902222000","3","3","0"
