"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"F_MN003","1303","201902010000","3.5","10","4"
"F_MN003","1303","201902010100","3.5","10","4"
"F_MN003","1303","201902010200","3.5","10","4"
"F_MN003","1303","201902010300","4","10","4"
"F_MN003","1303","201902010400","4.2","10","4"
"F_MN003","1303","201902010500","3.2","10","4"
"F_MN003","1303","201902010600","2.9","10","4"
"F_MN003","1303","201902010700","3.1","10","4"
"F_MN003","1303","201902010800","2.4","10","4"
"F_MN003","1303","201902010900","2.3","10","4"
"F_MN003","1303","201902011000","3.3","10","4"
"F_MN003","1303","201902011100","4.1","10","4"
"F_MN003","1303","201902011200","4.7","10","4"
"F_MN003","1303","201902011300","4.2","10","4"
"F_MN003","1303","201902011400","3.6","10","4"
"F_MN003","1303","201902011500","3.7","10","4"
"F_MN003","1303","201902011600","2.9","10","4"
"F_MN003","1303","201902011700","2.4","10","4"
"F_MN003","1303","201902011800","2.1","10","4"
"F_MN003","1303","201902011900","2.4","10","4"
"F_MN003","1303","201902012000","2","10","4"
"F_MN003","1303","201902012100","2","10","4"
"F_MN003","1303","201902012200","1.8","10","4"
"F_MN003","1303","201902012300","1.7","10","4"
"F_MN003","1303","201902020000","1.8","10","4"
"F_MN003","1303","201902020100","2","10","4"
"F_MN003","1303","201902020200","2.8","10","4"
"F_MN003","1303","201902020300","2.6","10","4"
"F_MN003","1303","201902020400","1.5","10","4"
"F_MN003","1303","201902020500","1.7","10","4"
"F_MN003","1303","201902020600","1.7","10","4"
"F_MN003","1303","201902020700","2.7","10","4"
"F_MN003","1303","201902020800","2.3","10","4"
"F_MN003","1303","201902020900","2.6","10","4"
"F_MN003","1303","201902021000","2.3","10","4"
"F_MN003","1303","201902021100","2.2","10","4"
"F_MN003","1303","201902021200","3.6","10","4"
"F_MN003","1303","201902021300","3.5","10","4"
"F_MN003","1303","201902021400","2.7","10","4"
"F_MN003","1303","201902021500","3.6","10","4"
"F_MN003","1303","201902021600","3.3","10","4"
"F_MN003","1303","201902021700","3.2","10","4"
"F_MN003","1303","201902021800","3.6","10","4"
"F_MN003","1303","201902021900","3.7","10","4"
"F_MN003","1303","201902022000","4.3","10","4"
"F_MN003","1303","201902022100","4","10","4"
"F_MN003","1303","201902022200","2.9","10","4"
"F_MN003","1303","201902022300","3.1","10","4"
"F_MN003","1303","201902030000","3","10","4"
"F_MN003","1303","201902030100","3.4","10","4"
"F_MN003","1303","201902030200","3.2","10","4"
"F_MN003","1303","201902030300","2.6","10","4"
"F_MN003","1303","201902030400","3.1","10","4"
"F_MN003","1303","201902030500","2.5","10","4"
"F_MN003","1303","201902030600","1.3","10","4"
"F_MN003","1303","201902030700","2","10","4"
"F_MN003","1303","201902030800","2.9","10","4"
"F_MN003","1303","201902030900","3.2","10","4"
"F_MN003","1303","201902031000","3.1","10","4"
"F_MN003","1303","201902031100","3.3","10","4"
"F_MN003","1303","201902031200","3.3","10","4"
"F_MN003","1303","201902031300","3.6","10","4"
"F_MN003","1303","201902031400","3.3","10","4"
"F_MN003","1303","201902031500","2.3","10","4"
"F_MN003","1303","201902031600","2","10","4"
"F_MN003","1303","201902031700","2.2","10","4"
"F_MN003","1303","201902031800","1.2","10","4"
"F_MN003","1303","201902031900","0.7","10","4"
"F_MN003","1303","201902032000","1.1","10","4"
"F_MN003","1303","201902032100","1.8","10","4"
"F_MN003","1303","201902032200","1.5","10","4"
"F_MN003","1303","201902032300","2.2","10","4"
"F_MN003","1303","201902040000","2.7","10","4"
"F_MN003","1303","201902040100","2.7","10","4"
"F_MN003","1303","201902040200","3.2","10","4"
"F_MN003","1303","201902040300","2.1","10","4"
"F_MN003","1303","201902040400","2.4","10","4"
"F_MN003","1303","201902040500","2","10","4"
"F_MN003","1303","201902040600","2.6","10","4"
"F_MN003","1303","201902040700","3.1","10","4"
"F_MN003","1303","201902040800","3.7","10","4"
"F_MN003","1303","201902040900","4","10","4"
"F_MN003","1303","201902041000","4.3","10","4"
"F_MN003","1303","201902041100","4.8","10","4"
"F_MN003","1303","201902041200","4.9","10","4"
"F_MN003","1303","201902041300","4.4","10","4"
"F_MN003","1303","201902041400","4.1","10","4"
"F_MN003","1303","201902041500","4.2","10","4"
"F_MN003","1303","201902041600","4.7","10","4"
