"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"N_MN008","1303","201902010000","8","3","0"
"N_MN008","1303","201902010100","8","3","0"
"N_MN008","1303","201902010200","8","3","0"
"N_MN008","1303","201902010300","7","3","0"
"N_MN008","1303","201902010400","7","3","0"
"N_MN008","1303","201902010500","7","3","0"
"N_MN008","1303","201902010600","8","3","0"
"N_MN008","1303","201902010700","8","3","0"
"N_MN008","1303","201902010800","8","3","0"
"N_MN008","1303","201902010900","8","3","0"
"N_MN008","1303","201902011000","8","3","0"
"N_MN008","1303","201902011100","7","3","0"
"N_MN008","1303","201902011200","0","3","0"
"N_MN008","1303","201902011300","7","3","0"
"N_MN008","1303","201902011400","8","3","0"
"N_MN008","1303","201902011500","7","3","0"
"N_MN008","1303","201902011600","1","3","0"
"N_MN008","1303","201902011700","7","3","0"
"N_MN008","1303","201902011800","8","3","0"
"N_MN008","1303","201902011900","8","3","0"
"N_MN008","1303","201902012000","8","3","0"
"N_MN008","1303","201902012100","8","3","0"
"N_MN008","1303","201902012200","8","3","0"
"N_MN008","1303","201902012300","8","3","0"
"N_MN008","1303","201902020000","8","3","0"
"N_MN008","1303","201902020100","8","3","0"
"N_MN008","1303","201902020200","7","3","0"
"N_MN008","1303","201902020300","8","3","0"
"N_MN008","1303","201902020400","7","3","0"
"N_MN008","1303","201902020500","8","3","0"
"N_MN008","1303","201902020600","8","3","0"
"N_MN008","1303","201902020700","8","3","0"
"N_MN008","1303","201902020800","8","3","0"
"N_MN008","1303","201902020900","7","3","0"
"N_MN008","1303","201902021000","8","3","0"
"N_MN008","1303","201902021100","7","3","0"
"N_MN008","1303","201902021200","8","3","0"
"N_MN008","1303","201902021300","8","3","0"
"N_MN008","1303","201902021400","8","3","0"
"N_MN008","1303","201902021500","7","3","0"
"N_MN008","1303","201902021600","8","3","0"
"N_MN008","1303","201902021700","8","3","0"
"N_MN008","1303","201902021800","8","3","0"
"N_MN008","1303","201902021900","7","3","0"
"N_MN008","1303","201902022000","8","3","0"
"N_MN008","1303","201902022100","8","3","0"
"N_MN008","1303","201902022200","8","3","0"
"N_MN008","1303","201902022300","8","3","0"
"N_MN008","1303","201902030000","8","3","0"
"N_MN008","1303","201902030100","8","3","0"
"N_MN008","1303","201902030200","8","3","0"
"N_MN008","1303","201902030300","8","3","0"
"N_MN008","1303","201902030400","8","3","0"
"N_MN008","1303","201902030500","7","3","0"
"N_MN008","1303","201902030600","8","3","0"
"N_MN008","1303","201902030700","8","3","0"
"N_MN008","1303","201902030800","7","3","0"
"N_MN008","1303","201902030900","5","3","0"
"N_MN008","1303","201902031000","0","3","0"
"N_MN008","1303","201902031100","0","3","0"
"N_MN008","1303","201902031200","5","3","0"
"N_MN008","1303","201902031300","6","3","0"
"N_MN008","1303","201902031400","6","3","0"
"N_MN008","1303","201902031500","8","3","0"
"N_MN008","1303","201902031600","8","3","0"
"N_MN008","1303","201902031700","6","3","0"
"N_MN008","1303","201902031800","1","3","0"
"N_MN008","1303","201902031900","0","3","0"
"N_MN008","1303","201902032000","0","3","0"
"N_MN008","1303","201902032100","0","3","0"
"N_MN008","1303","201902032200","0","3","0"
"N_MN008","1303","201902032300","1","3","0"
"N_MN008","1303","201902040000","3","3","0"
"N_MN008","1303","201902040100","6","3","0"
"N_MN008","1303","201902040200","0","3","0"
"N_MN008","1303","201902040300","4","3","0"
"N_MN008","1303","201902040400","0","3","0"
"N_MN008","1303","201902040500","2","3","0"
"N_MN008","1303","201902040600","2","3","0"
"N_MN008","1303","201902040700","8","3","0"
"N_MN008","1303","201902040800","8","3","0"
"N_MN008","1303","201902040900","7","3","0"
"N_MN008","1303","201902041000","8","3","0"
"N_MN008","1303","201902041100","8","3","0"
"N_MN008","1303","201902041200","8","3","0"
"N_MN008","1303","201902041300","8","3","0"
"N_MN008","1303","201902041400","8","3","0"
"N_MN008","1303","201902041500","8","3","0"
"N_MN008","1303","201902041600","8","3","0"
"N_MN008","1303","201902041700","8","3","0"
"N_MN008","1303","201902041800","7","3","0"
"N_MN008","1303","201902041900","8","3","0"
"N_MN008","1303","201902042000","7","3","0"
"N_MN008","1303","201902042100","8","3","0"
"N_MN008","1303","201902042200","8","3","0"
"N_MN008","1303","201902042300","8","3","0"
"N_MN008","1303","201902050000","8","3","0"
"N_MN008","1303","201902050100","8","3","0"
"N_MN008","1303","201902050200","8","3","0"
"N_MN008","1303","201902050300","8","3","0"
"N_MN008","1303","201902050400","7","3","0"
"N_MN008","1303","201902050500","8","3","0"
"N_MN008","1303","201902050600","8","3","0"
"N_MN008","1303","201902050700","8","3","0"
"N_MN008","1303","201902050800","8","3","0"
"N_MN008","1303","201902050900","8","3","0"
"N_MN008","1303","201902051000","7","3","0"
"N_MN008","1303","201902051100","8","3","0"
"N_MN008","1303","201902051200","8","3","0"
"N_MN008","1303","201902051300","8","3","0"
"N_MN008","1303","201902051400","8","3","0"
"N_MN008","1303","201902051500","8","3","0"
"N_MN008","1303","201902051600","7","3","0"
"N_MN008","1303","201902051700","7","3","0"
"N_MN008","1303","201902051800","8","3","0"
"N_MN008","1303","201902051900","8","3","0"
"N_MN008","1303","201902052000","8","3","0"
"N_MN008","1303","201902052100","7","3","0"
"N_MN008","1303","201902052200","8","3","0"
"N_MN008","1303","201902052300","8","3","0"
"N_MN008","1303","201902060000","8","3","0"
"N_MN008","1303","201902060100","8","3","0"
"N_MN008","1303","201902060200","8","3","0"
"N_MN008","1303","201902060300","8","3","0"
"N_MN008","1303","201902060400","8","3","0"
"N_MN008","1303","201902060500","8","3","0"
"N_MN008","1303","201902060600","8","3","0"
"N_MN008","1303","201902060700","7","3","0"
"N_MN008","1303","201902060800","8","3","0"
"N_MN008","1303","201902060900","8","3","0"
"N_MN008","1303","201902061000","8","3","0"
"N_MN008","1303","201902061100","8","3","0"
"N_MN008","1303","201902061200","8","3","0"
"N_MN008","1303","201902061300","8","3","0"
"N_MN008","1303","201902061400","8","3","0"
"N_MN008","1303","201902061500","8","3","0"
"N_MN008","1303","201902061600","8","3","0"
"N_MN008","1303","201902061700","8","3","0"
"N_MN008","1303","201902061800","8","3","0"
"N_MN008","1303","201902061900","8","3","0"
"N_MN008","1303","201902062000","8","3","0"
"N_MN008","1303","201902062100","8","3","0"
"N_MN008","1303","201902062200","7","3","0"
"N_MN008","1303","201902062300","8","3","0"
"N_MN008","1303","201902070000","8","3","0"
"N_MN008","1303","201902070100","8","3","0"
"N_MN008","1303","201902070200","7","3","0"
"N_MN008","1303","201902070300","7","3","0"
"N_MN008","1303","201902070400","8","3","0"
"N_MN008","1303","201902070500","7","3","0"
"N_MN008","1303","201902070600","7","3","0"
"N_MN008","1303","201902070700","8","3","0"
"N_MN008","1303","201902070800","8","3","0"
"N_MN008","1303","201902070900","8","3","0"
"N_MN008","1303","201902071000","8","3","0"
"N_MN008","1303","201902071100","8","3","0"
"N_MN008","1303","201902071200","7","3","0"
"N_MN008","1303","201902071300","6","3","0"
"N_MN008","1303","201902071400","7","3","0"
"N_MN008","1303","201902071500","5","3","0"
"N_MN008","1303","201902071600","6","3","0"
"N_MN008","1303","201902071700","1","3","0"
"N_MN008","1303","201902071800","7","3","0"
"N_MN008","1303","201902071900","3","3","0"
"N_MN008","1303","201902072000","7","3","0"
"N_MN008","1303","201902072100","8","3","0"
"N_MN008","1303","201902072200","8","3","0"
"N_MN008","1303","201902072300","8","3","0"
"N_MN008","1303","201902080000","8","3","0"
"N_MN008","1303","201902080100","8","3","0"
"N_MN008","1303","201902080200","8","3","0"
"N_MN008","1303","201902080300","7","3","0"
"N_MN008","1303","201902080400","8","3","0"
"N_MN008","1303","201902080500","8","3","0"
"N_MN008","1303","201902080600","8","3","0"
"N_MN008","1303","201902080700","7","3","0"
"N_MN008","1303","201902080800","8","3","0"
"N_MN008","1303","201902080900","8","3","0"
"N_MN008","1303","201902081000","8","3","0"
"N_MN008","1303","201902081100","7","3","0"
"N_MN008","1303","201902081200","8","3","0"
"N_MN008","1303","201902081300","8","3","0"
"N_MN008","1303","201902081400","8","3","0"
"N_MN008","1303","201902081500","8","3","0"
"N_MN008","1303","201902081600","7","3","0"
"N_MN008","1303","201902081700","8","3","0"
"N_MN008","1303","201902081800","8","3","0"
"N_MN008","1303","201902081900","8","3","0"
"N_MN008","1303","201902082000","8","3","0"
"N_MN008","1303","201902082100","8","3","0"
"N_MN008","1303","201902082200","8","3","0"
"N_MN008","1303","201902082300","8","3","0"
"N_MN008","1303","201902090000","8","3","0"
"N_MN008","1303","201902090100","8","3","0"
"N_MN008","1303","201902090200","7","3","0"
"N_MN008","1303","201902090300","8","3","0"
"N_MN008","1303","201902090400","7","3","0"
"N_MN008","1303","201902090500","7","3","0"
"N_MN008","1303","201902090600","7","3","0"
"N_MN008","1303","201902090700","8","3","0"
"N_MN008","1303","201902090800","3","3","0"
"N_MN008","1303","201902090900","2","3","0"
"N_MN008","1303","201902091000","7","3","0"
"N_MN008","1303","201902091100","7","3","0"
"N_MN008","1303","201902091200","4","3","0"
"N_MN008","1303","201902091300","7","3","0"
"N_MN008","1303","201902091400","7","3","0"
"N_MN008","1303","201902091500","7","3","0"
"N_MN008","1303","201902091600","8","3","0"
"N_MN008","1303","201902091700","8","3","0"
"N_MN008","1303","201902091800","7","3","0"
"N_MN008","1303","201902091900","8","3","0"
"N_MN008","1303","201902092000","8","3","0"
"N_MN008","1303","201902092100","7","3","0"
"N_MN008","1303","201902092200","8","3","0"
"N_MN008","1303","201902092300","8","3","0"
"N_MN008","1303","201902100000","7","3","0"
"N_MN008","1303","201902100100","8","3","0"
"N_MN008","1303","201902100200","7","3","0"
"N_MN008","1303","201902100300","7","3","0"
"N_MN008","1303","201902100400","7","3","0"
"N_MN008","1303","201902100500","8","3","0"
"N_MN008","1303","201902100600","7","3","0"
"N_MN008","1303","201902100700","7","3","0"
"N_MN008","1303","201902100800","8","3","0"
"N_MN008","1303","201902100900","7","3","0"
"N_MN008","1303","201902101000","8","3","0"
"N_MN008","1303","201902101100","8","3","0"
"N_MN008","1303","201902101200","7","3","0"
"N_MN008","1303","201902101300","7","3","0"
"N_MN008","1303","201902101400","7","3","0"
"N_MN008","1303","201902101500","8","3","0"
"N_MN008","1303","201902101600","8","3","0"
"N_MN008","1303","201902101700","8","3","0"
"N_MN008","1303","201902101800","8","3","0"
"N_MN008","1303","201902101900","7","3","0"
"N_MN008","1303","201902102000","8","3","0"
"N_MN008","1303","201902102100","7","3","0"
"N_MN008","1303","201902102200","7","3","0"
"N_MN008","1303","201902102300","8","3","0"
"N_MN008","1303","201902110000","8","3","0"
"N_MN008","1303","201902110100","7","3","0"
"N_MN008","1303","201902110200","7","3","0"
"N_MN008","1303","201902110300","7","3","0"
"N_MN008","1303","201902110400","7","3","0"
"N_MN008","1303","201902110500","8","3","0"
"N_MN008","1303","201902110600","8","3","0"
"N_MN008","1303","201902110700","7","3","0"
"N_MN008","1303","201902110800","8","3","0"
"N_MN008","1303","201902110900","8","3","0"
"N_MN008","1303","201902111000","8","3","0"
"N_MN008","1303","201902111100","8","3","0"
"N_MN008","1303","201902111200","8","3","0"
"N_MN008","1303","201902111300","8","3","0"
"N_MN008","1303","201902111400","7","3","0"
"N_MN008","1303","201902111500","2","3","0"
"N_MN008","1303","201902111600","1","3","0"
"N_MN008","1303","201902111700","4","3","0"
"N_MN008","1303","201902111800","7","3","0"
"N_MN008","1303","201902111900","1","3","0"
"N_MN008","1303","201902112100","8","3","0"
"N_MN008","1303","201902112200","8","3","0"
"N_MN008","1303","201902112300","6","3","0"
"N_MN008","1303","201902120100","7","3","0"
"N_MN008","1303","201902120200","6","3","0"
"N_MN008","1303","201902120300","6","3","0"
"N_MN008","1303","201902120500","7","3","0"
"N_MN008","1303","201902120600","8","3","0"
"N_MN008","1303","201902120700","8","3","0"
"N_MN008","1303","201902120800","8","3","0"
"N_MN008","1303","201902120900","8","3","0"
"N_MN008","1303","201902121000","8","3","0"
"N_MN008","1303","201902121100","8","3","0"
"N_MN008","1303","201902121200","8","3","0"
"N_MN008","1303","201902121300","8","3","0"
"N_MN008","1303","201902121400","8","3","0"
"N_MN008","1303","201902121500","5","3","0"
"N_MN008","1303","201902121600","7","3","0"
"N_MN008","1303","201902121700","8","3","0"
"N_MN008","1303","201902121800","7","3","0"
"N_MN008","1303","201902122000","0","3","0"
"N_MN008","1303","201902122100","0","3","0"
"N_MN008","1303","201902122200","8","3","0"
"N_MN008","1303","201902122300","8","3","0"
"N_MN008","1303","201902130000","8","3","0"
"N_MN008","1303","201902130100","8","3","0"
"N_MN008","1303","201902130200","8","3","0"
"N_MN008","1303","201902130400","4","3","0"
"N_MN008","1303","201902130500","5","3","0"
"N_MN008","1303","201902130600","3","3","0"
"N_MN008","1303","201902130700","8","3","0"
"N_MN008","1303","201902130800","8","3","0"
"N_MN008","1303","201902131000","8","3","0"
"N_MN008","1303","201902131100","7","3","0"
"N_MN008","1303","201902131200","7","3","0"
"N_MN008","1303","201902131300","8","3","0"
"N_MN008","1303","201902131400","7","3","0"
"N_MN008","1303","201902131500","8","3","0"
"N_MN008","1303","201902131600","8","3","0"
"N_MN008","1303","201902131700","8","3","0"
"N_MN008","1303","201902131800","8","3","0"
"N_MN008","1303","201902131900","8","3","0"
"N_MN008","1303","201902132000","8","3","0"
"N_MN008","1303","201902132100","8","3","0"
"N_MN008","1303","201902132200","8","3","0"
"N_MN008","1303","201902132300","8","3","0"
"N_MN008","1303","201902140000","8","3","0"
"N_MN008","1303","201902140100","8","3","0"
"N_MN008","1303","201902140200","8","3","0"
"N_MN008","1303","201902140300","1","3","0"
"N_MN008","1303","201902140400","5","3","0"
"N_MN008","1303","201902140500","8","3","0"
"N_MN008","1303","201902140600","8","3","0"
"N_MN008","1303","201902140700","0","3","0"
"N_MN008","1303","201902140800","0","3","0"
"N_MN008","1303","201902140900","7","3","0"
"N_MN008","1303","201902141000","7","3","0"
"N_MN008","1303","201902141100","8","3","0"
"N_MN008","1303","201902141200","8","3","0"
"N_MN008","1303","201902141300","8","3","0"
"N_MN008","1303","201902141400","6","3","0"
"N_MN008","1303","201902141500","3","3","0"
"N_MN008","1303","201902141600","6","3","0"
"N_MN008","1303","201902141700","2","3","0"
"N_MN008","1303","201902141800","6","3","0"
"N_MN008","1303","201902141900","0","3","0"
"N_MN008","1303","201902142000","0","3","0"
"N_MN008","1303","201902142100","0","3","0"
"N_MN008","1303","201902142200","0","3","0"
"N_MN008","1303","201902142300","0","3","0"
"N_MN008","1303","201902150000","0","3","0"
"N_MN008","1303","201902150100","0","3","0"
"N_MN008","1303","201902150200","0","3","0"
"N_MN008","1303","201902150300","0","3","0"
"N_MN008","1303","201902150400","0","3","0"
"N_MN008","1303","201902150500","0","3","0"
"N_MN008","1303","201902150600","0","3","0"
"N_MN008","1303","201902150700","0","3","0"
"N_MN008","1303","201902150800","0","3","0"
"N_MN008","1303","201902150900","0","3","0"
"N_MN008","1303","201902151000","0","3","0"
"N_MN008","1303","201902151100","0","3","0"
"N_MN008","1303","201902151200","0","3","0"
"N_MN008","1303","201902151300","0","3","0"
"N_MN008","1303","201902151400","0","3","0"
"N_MN008","1303","201902151500","0","3","0"
"N_MN008","1303","201902151600","0","3","0"
"N_MN008","1303","201902151700","0","3","0"
"N_MN008","1303","201902151800","0","3","0"
"N_MN008","1303","201902151900","0","3","0"
"N_MN008","1303","201902152000","0","3","0"
"N_MN008","1303","201902152100","0","3","0"
"N_MN008","1303","201902152200","0","3","0"
"N_MN008","1303","201902152300","0","3","0"
"N_MN008","1303","201902160000","0","3","0"
"N_MN008","1303","201902160100","0","3","0"
"N_MN008","1303","201902160200","0","3","0"
"N_MN008","1303","201902160300","0","3","0"
"N_MN008","1303","201902160400","0","3","0"
"N_MN008","1303","201902160500","0","3","0"
"N_MN008","1303","201902160600","0","3","0"
"N_MN008","1303","201902160700","0","3","0"
"N_MN008","1303","201902160800","0","3","0"
"N_MN008","1303","201902160900","0","3","0"
"N_MN008","1303","201902161000","0","3","0"
"N_MN008","1303","201902161100","0","3","0"
"N_MN008","1303","201902161200","3","3","0"
"N_MN008","1303","201902161300","4","3","0"
"N_MN008","1303","201902161400","7","3","0"
"N_MN008","1303","201902161500","3","3","0"
"N_MN008","1303","201902161600","5","3","0"
"N_MN008","1303","201902161700","5","3","0"
"N_MN008","1303","201902161800","8","3","0"
"N_MN008","1303","201902161900","8","3","0"
"N_MN008","1303","201902162000","8","3","0"
"N_MN008","1303","201902162100","8","3","0"
"N_MN008","1303","201902162200","8","3","0"
"N_MN008","1303","201902162300","5","3","0"
"N_MN008","1303","201902170000","7","3","0"
"N_MN008","1303","201902170100","8","3","0"
"N_MN008","1303","201902170200","8","3","0"
"N_MN008","1303","201902170300","8","3","0"
"N_MN008","1303","201902170400","6","3","0"
"N_MN008","1303","201902170500","8","3","0"
"N_MN008","1303","201902170600","8","3","0"
"N_MN008","1303","201902170700","8","3","0"
"N_MN008","1303","201902170800","6","3","0"
"N_MN008","1303","201902170900","8","3","0"
"N_MN008","1303","201902171000","7","3","0"
"N_MN008","1303","201902171100","8","3","0"
"N_MN008","1303","201902171200","8","3","0"
"N_MN008","1303","201902171300","7","3","0"
"N_MN008","1303","201902171400","6","3","0"
"N_MN008","1303","201902171500","6","3","0"
"N_MN008","1303","201902171600","6","3","0"
"N_MN008","1303","201902171700","8","3","0"
"N_MN008","1303","201902171800","7","3","0"
"N_MN008","1303","201902171900","0","3","0"
"N_MN008","1303","201902172000","7","3","0"
"N_MN008","1303","201902172100","2","3","0"
"N_MN008","1303","201902172200","2","3","0"
"N_MN008","1303","201902172300","1","3","0"
"N_MN008","1303","201902180000","0","3","0"
"N_MN008","1303","201902180100","0","3","0"
"N_MN008","1303","201902180200","0","3","0"
"N_MN008","1303","201902180300","0","3","0"
"N_MN008","1303","201902180400","0","3","0"
"N_MN008","1303","201902180500","0","3","0"
"N_MN008","1303","201902180600","0","3","0"
"N_MN008","1303","201902180700","0","3","0"
"N_MN008","1303","201902180800","0","3","0"
"N_MN008","1303","201902180900","0","3","0"
"N_MN008","1303","201902181000","0","3","0"
"N_MN008","1303","201902181100","0","3","0"
"N_MN008","1303","201902181200","0","3","0"
"N_MN008","1303","201902181300","0","3","0"
"N_MN008","1303","201902181400","0","3","0"
"N_MN008","1303","201902181500","0","3","0"
"N_MN008","1303","201902181600","2","3","0"
"N_MN008","1303","201902181700","5","3","0"
"N_MN008","1303","201902181800","8","3","0"
"N_MN008","1303","201902181900","5","3","0"
"N_MN008","1303","201902182000","7","3","0"
"N_MN008","1303","201902182100","8","3","0"
"N_MN008","1303","201902182200","8","3","0"
"N_MN008","1303","201902182300","8","3","0"
"N_MN008","1303","201902190000","4","3","0"
"N_MN008","1303","201902190100","8","3","0"
"N_MN008","1303","201902190200","8","3","0"
"N_MN008","1303","201902190300","8","3","0"
"N_MN008","1303","201902190400","8","3","0"
"N_MN008","1303","201902190500","7","3","0"
"N_MN008","1303","201902190600","8","3","0"
"N_MN008","1303","201902190700","8","3","0"
"N_MN008","1303","201902190800","8","3","0"
"N_MN008","1303","201902190900","0","3","0"
"N_MN008","1303","201902191000","6","3","0"
"N_MN008","1303","201902191100","3","3","0"
"N_MN008","1303","201902191200","7","3","0"
