"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"P0_MN008","1303","201902010000","973","3","0"
"P0_MN008","1303","201902010100","971.8","3","0"
"P0_MN008","1303","201902010200","971.5","3","0"
"P0_MN008","1303","201902010300","970.4","3","0"
"P0_MN008","1303","201902010400","970","3","0"
"P0_MN008","1303","201902010500","969.7","3","0"
"P0_MN008","1303","201902010600","970","3","0"
"P0_MN008","1303","201902010700","970.6","3","0"
"P0_MN008","1303","201902010800","971.3","3","0"
"P0_MN008","1303","201902010900","971.8","3","0"
"P0_MN008","1303","201902011000","971.8","3","0"
"P0_MN008","1303","201902011100","972.3","3","0"
"P0_MN008","1303","201902011200","972.2","3","0"
"P0_MN008","1303","201902011300","972.1","3","0"
"P0_MN008","1303","201902011400","972.2","3","0"
"P0_MN008","1303","201902011500","972.3","3","0"
"P0_MN008","1303","201902011600","972.3","3","0"
"P0_MN008","1303","201902011700","972.4","3","0"
"P0_MN008","1303","201902011800","972.4","3","0"
"P0_MN008","1303","201902011900","973.2","3","0"
"P0_MN008","1303","201902012000","973.2","3","0"
"P0_MN008","1303","201902012100","973.5","3","0"
"P0_MN008","1303","201902012200","973.6","3","0"
"P0_MN008","1303","201902012300","973.9","3","0"
"P0_MN008","1303","201902020000","974.2","3","0"
"P0_MN008","1303","201902020100","973.9","3","0"
"P0_MN008","1303","201902020200","974.2","3","0"
"P0_MN008","1303","201902020300","974.2","3","0"
"P0_MN008","1303","201902020400","974.9","3","0"
"P0_MN008","1303","201902020500","975.1","3","0"
"P0_MN008","1303","201902020600","975.6","3","0"
"P0_MN008","1303","201902020700","975.7","3","0"
"P0_MN008","1303","201902020800","976.5","3","0"
"P0_MN008","1303","201902020900","977.4","3","0"
"P0_MN008","1303","201902021000","978.3","3","0"
"P0_MN008","1303","201902021100","978.9","3","0"
"P0_MN008","1303","201902021200","979.4","3","0"
"P0_MN008","1303","201902021300","980.5","3","0"
"P0_MN008","1303","201902021400","981","3","0"
"P0_MN008","1303","201902021500","982","3","0"
"P0_MN008","1303","201902021600","983","3","0"
"P0_MN008","1303","201902021700","984.3","3","0"
"P0_MN008","1303","201902021800","985.5","3","0"
"P0_MN008","1303","201902021900","986.8","3","0"
"P0_MN008","1303","201902022000","987.8","3","0"
"P0_MN008","1303","201902022100","989","3","0"
"P0_MN008","1303","201902022200","990.3","3","0"
"P0_MN008","1303","201902022300","991.4","3","0"
