"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"RF_TU_MN009","1303","201902010000","88","7","6"
"RF_TU_MN009","1303","201902010100","85","7","6"
"RF_TU_MN009","1303","201902010200","84","7","1"
"RF_TU_MN009","1303","201902010300","92","7","1"
"RF_TU_MN009","1303","201902010400","98","7","1"
"RF_TU_MN009","1303","201902010500","99","7","1"
"RF_TU_MN009","1303","201902010600","87","7","1"
"RF_TU_MN009","1303","201902010700","89","7","1"
"RF_TU_MN009","1303","201902010800","89","7","1"
"RF_TU_MN009","1303","201902010900","86","7","1"
"RF_TU_MN009","1303","201902011000","85","7","1"
"RF_TU_MN009","1303","201902011100","80","7","1"
"RF_TU_MN009","1303","201902011200","76","7","1"
"RF_TU_MN009","1303","201902011300","76","7","1"
"RF_TU_MN009","1303","201902011400","75","7","1"
"RF_TU_MN009","1303","201902011500","59","7","1"
"RF_TU_MN009","1303","201902011600","64","7","1"
"RF_TU_MN009","1303","201902011700","72","7","1"
"RF_TU_MN009","1303","201902011800","74","7","1"
"RF_TU_MN009","1303","201902011900","85","7","1"
"RF_TU_MN009","1303","201902012000","88","7","1"
"RF_TU_MN009","1303","201902012100","88","7","1"
"RF_TU_MN009","1303","201902012200","90","7","1"
"RF_TU_MN009","1303","201902012300","89","7","1"
"RF_TU_MN009","1303","201902020000","88","7","1"
"RF_TU_MN009","1303","201902020100","91","7","1"
"RF_TU_MN009","1303","201902020200","93","7","1"
"RF_TU_MN009","1303","201902020300","93","7","1"
"RF_TU_MN009","1303","201902020400","94","7","1"
"RF_TU_MN009","1303","201902020500","97","7","1"
"RF_TU_MN009","1303","201902020600","98","7","1"
"RF_TU_MN009","1303","201902020700","97","7","1"
"RF_TU_MN009","1303","201902020800","98","7","1"
"RF_TU_MN009","1303","201902020900","98","7","1"
"RF_TU_MN009","1303","201902021000","98","7","1"
"RF_TU_MN009","1303","201902021100","98","7","1"
"RF_TU_MN009","1303","201902021200","88","7","1"
"RF_TU_MN009","1303","201902021300","90","7","1"
"RF_TU_MN009","1303","201902021400","89","7","1"
"RF_TU_MN009","1303","201902021500","89","7","1"
"RF_TU_MN009","1303","201902021600","88","7","1"
"RF_TU_MN009","1303","201902021700","88","7","1"
"RF_TU_MN009","1303","201902021800","89","7","1"
"RF_TU_MN009","1303","201902021900","89","7","1"
"RF_TU_MN009","1303","201902022000","89","7","1"
"RF_TU_MN009","1303","201902022100","90","7","1"
"RF_TU_MN009","1303","201902022200","90","7","1"
"RF_TU_MN009","1303","201902022300","90","7","1"
"RF_TU_MN009","1303","201902030000","91","7","1"
"RF_TU_MN009","1303","201902030100","90","7","1"
"RF_TU_MN009","1303","201902030200","92","7","1"
"RF_TU_MN009","1303","201902030300","91","7","1"
"RF_TU_MN009","1303","201902030400","92","7","1"
"RF_TU_MN009","1303","201902030500","92","7","1"
"RF_TU_MN009","1303","201902030600","90","7","1"
"RF_TU_MN009","1303","201902030700","91","7","1"
"RF_TU_MN009","1303","201902030800","90","7","1"
"RF_TU_MN009","1303","201902030900","85","7","1"
"RF_TU_MN009","1303","201902031000","79","7","1"
"RF_TU_MN009","1303","201902031100","70","7","1"
"RF_TU_MN009","1303","201902031200","66","7","1"
"RF_TU_MN009","1303","201902031300","56","7","1"
"RF_TU_MN009","1303","201902031400","58","7","1"
"RF_TU_MN009","1303","201902031500","72","7","1"
"RF_TU_MN009","1303","201902031600","70","7","1"
