"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TD_MN008","1303","201902010000","-3.2","3","0"
"TD_MN008","1303","201902010100","-3.5","3","0"
"TD_MN008","1303","201902010200","-3.3","3","0"
"TD_MN008","1303","201902010300","-1.6","3","0"
"TD_MN008","1303","201902010400","-0.6","3","0"
"TD_MN008","1303","201902010500","-0.4","3","0"
"TD_MN008","1303","201902010600","-0.5","3","0"
"TD_MN008","1303","201902010700","-0.1","3","0"
"TD_MN008","1303","201902010800","0.1","3","0"
"TD_MN008","1303","201902010900","-0.1","3","0"
"TD_MN008","1303","201902011000","-0.1","3","0"
"TD_MN008","1303","201902011100","0.2","3","0"
"TD_MN008","1303","201902011200","0.2","3","0"
"TD_MN008","1303","201902011300","0.7","3","0"
"TD_MN008","1303","201902011400","0.9","3","0"
"TD_MN008","1303","201902011500","-2.8","3","0"
"TD_MN008","1303","201902011600","-1.8","3","0"
"TD_MN008","1303","201902011700","-0.7","3","0"
"TD_MN008","1303","201902011800","-0.9","3","0"
"TD_MN008","1303","201902011900","0.4","3","0"
"TD_MN008","1303","201902012000","0.6","3","0"
"TD_MN008","1303","201902012100","0.5","3","0"
"TD_MN008","1303","201902012200","0.4","3","0"
"TD_MN008","1303","201902012300","0.2","3","0"
"TD_MN008","1303","201902020000","0.4","3","0"
"TD_MN008","1303","201902020100","0.3","3","0"
"TD_MN008","1303","201902020200","-0.1","3","0"
"TD_MN008","1303","201902020300","-0.3","3","0"
"TD_MN008","1303","201902020400","-0.1","3","0"
"TD_MN008","1303","201902020500","0.1","3","0"
"TD_MN008","1303","201902020600","0.3","3","0"
"TD_MN008","1303","201902020700","0.8","3","0"
"TD_MN008","1303","201902020800","0.6","3","0"
"TD_MN008","1303","201902020900","0.7","3","0"
"TD_MN008","1303","201902021000","0.3","3","0"
"TD_MN008","1303","201902021100","0.3","3","0"
"TD_MN008","1303","201902021200","-1.4","3","0"
"TD_MN008","1303","201902021300","-1","3","0"
"TD_MN008","1303","201902021400","-1.2","3","0"
"TD_MN008","1303","201902021500","-1.3","3","0"
"TD_MN008","1303","201902021600","-1.6","3","0"
"TD_MN008","1303","201902021700","-1.5","3","0"
"TD_MN008","1303","201902021800","-1.4","3","0"
"TD_MN008","1303","201902021900","-1.3","3","0"
"TD_MN008","1303","201902022000","-1.2","3","0"
"TD_MN008","1303","201902022100","-1.1","3","0"
"TD_MN008","1303","201902022200","-1.1","3","0"
"TD_MN008","1303","201902022300","-1.2","3","0"
"TD_MN008","1303","201902030000","-1.2","3","0"
"TD_MN008","1303","201902030100","-1.3","3","0"
"TD_MN008","1303","201902030200","-1.2","3","0"
"TD_MN008","1303","201902030300","-1.3","3","0"
"TD_MN008","1303","201902030400","-0.9","3","0"
"TD_MN008","1303","201902030500","-1","3","0"
"TD_MN008","1303","201902030600","-1.1","3","0"
"TD_MN008","1303","201902030700","-1.1","3","0"
"TD_MN008","1303","201902030800","-1.5","3","0"
"TD_MN008","1303","201902030900","-1.7","3","0"
"TD_MN008","1303","201902031000","-1.5","3","0"
"TD_MN008","1303","201902031100","-2","3","0"
"TD_MN008","1303","201902031200","-2","3","0"
"TD_MN008","1303","201902031300","-4.2","3","0"
"TD_MN008","1303","201902031400","-3.7","3","0"
"TD_MN008","1303","201902031500","-0.5","3","0"
"TD_MN008","1303","201902031600","-0.8","3","0"
"TD_MN008","1303","201902031700","-0.6","3","0"
"TD_MN008","1303","201902031800","-0.6","3","0"
"TD_MN008","1303","201902031900","-0.8","3","0"
"TD_MN008","1303","201902032000","-0.6","3","0"
"TD_MN008","1303","201902032100","-1","3","0"
"TD_MN008","1303","201902032200","-1.2","3","0"
"TD_MN008","1303","201902032300","-1.1","3","0"
"TD_MN008","1303","201902040000","-1","3","0"
"TD_MN008","1303","201902040100","-0.5","3","0"
"TD_MN008","1303","201902040200","-0.9","3","0"
"TD_MN008","1303","201902040300","-1","3","0"
"TD_MN008","1303","201902040400","-1.1","3","0"
"TD_MN008","1303","201902040500","-1.6","3","0"
"TD_MN008","1303","201902040600","-2.1","3","0"
"TD_MN008","1303","201902040700","-2.5","3","0"
"TD_MN008","1303","201902040800","-2.6","3","0"
"TD_MN008","1303","201902040900","-5.5","3","0"
"TD_MN008","1303","201902041000","-5.4","3","0"
"TD_MN008","1303","201902041100","-5.3","3","0"
"TD_MN008","1303","201902041200","-3.9","3","0"
"TD_MN008","1303","201902041300","-3.3","3","0"
"TD_MN008","1303","201902041400","-3.8","3","0"
"TD_MN008","1303","201902041500","-3.3","3","0"
"TD_MN008","1303","201902041600","-3.8","3","0"
"TD_MN008","1303","201902041700","-4","3","0"
"TD_MN008","1303","201902041800","-3.9","3","0"
"TD_MN008","1303","201902041900","-3.8","3","0"
"TD_MN008","1303","201902042000","-3.4","3","0"
"TD_MN008","1303","201902042100","-3","3","0"
"TD_MN008","1303","201902042200","-2.5","3","0"
"TD_MN008","1303","201902042300","-6.4","3","0"
"TD_MN008","1303","201902050000","-3.8","3","0"
"TD_MN008","1303","201902050100","-0.8","3","0"
"TD_MN008","1303","201902050200","-0.1","3","0"
"TD_MN008","1303","201902050300","-0.1","3","0"
"TD_MN008","1303","201902050400","0.5","3","0"
"TD_MN008","1303","201902050500","0.3","3","0"
"TD_MN008","1303","201902050600","0.4","3","0"
"TD_MN008","1303","201902050700","0.7","3","0"
"TD_MN008","1303","201902050800","0.1","3","0"
"TD_MN008","1303","201902050900","1.8","3","0"
"TD_MN008","1303","201902051000","2.1","3","0"
"TD_MN008","1303","201902051100","2.3","3","0"
"TD_MN008","1303","201902051200","2.3","3","0"
"TD_MN008","1303","201902051300","2.3","3","0"
"TD_MN008","1303","201902051400","2.5","3","0"
"TD_MN008","1303","201902051500","2.4","3","0"
"TD_MN008","1303","201902051600","2.7","3","0"
"TD_MN008","1303","201902051700","2.1","3","0"
"TD_MN008","1303","201902051800","2.2","3","0"
"TD_MN008","1303","201902051900","2.3","3","0"
"TD_MN008","1303","201902052000","1.9","3","0"
"TD_MN008","1303","201902052100","1.3","3","0"
"TD_MN008","1303","201902052200","0.6","3","0"
"TD_MN008","1303","201902052300","0.6","3","0"
"TD_MN008","1303","201902060000","0.1","3","0"
"TD_MN008","1303","201902060100","-0.1","3","0"
"TD_MN008","1303","201902060200","-0.4","3","0"
"TD_MN008","1303","201902060300","-0.7","3","0"
"TD_MN008","1303","201902060400","-1.2","3","0"
"TD_MN008","1303","201902060500","-1.5","3","0"
"TD_MN008","1303","201902060600","-1.9","3","0"
"TD_MN008","1303","201902060700","-2.3","3","0"
"TD_MN008","1303","201902060800","-2.4","3","0"
"TD_MN008","1303","201902060900","-6.2","3","0"
"TD_MN008","1303","201902061000","-4.5","3","0"
"TD_MN008","1303","201902061100","-1.9","3","0"
"TD_MN008","1303","201902061200","-1.6","3","0"
"TD_MN008","1303","201902061300","-1.3","3","0"
"TD_MN008","1303","201902061400","-1.4","3","0"
"TD_MN008","1303","201902061500","-0.7","3","0"
"TD_MN008","1303","201902061600","-0.9","3","0"
"TD_MN008","1303","201902061700","-1.1","3","0"
"TD_MN008","1303","201902061800","0.7","3","0"
"TD_MN008","1303","201902061900","0.3","3","0"
"TD_MN008","1303","201902062000","0.8","3","0"
"TD_MN008","1303","201902062100","1.8","3","0"
"TD_MN008","1303","201902062200","2.6","3","0"
"TD_MN008","1303","201902062300","2.8","3","0"
"TD_MN008","1303","201902070000","3","3","0"
"TD_MN008","1303","201902070100","2.2","3","0"
"TD_MN008","1303","201902070200","2.5","3","0"
"TD_MN008","1303","201902070300","2.3","3","0"
"TD_MN008","1303","201902070400","2.2","3","0"
"TD_MN008","1303","201902070500","2.2","3","0"
"TD_MN008","1303","201902070600","2.3","3","0"
"TD_MN008","1303","201902070700","2.7","3","0"
"TD_MN008","1303","201902070800","4.3","3","0"
"TD_MN008","1303","201902070900","4.5","3","0"
"TD_MN008","1303","201902071000","3","3","0"
"TD_MN008","1303","201902071100","3.5","3","0"
"TD_MN008","1303","201902071200","2.6","3","0"
"TD_MN008","1303","201902071300","2.3","3","0"
"TD_MN008","1303","201902071400","2.1","3","0"
"TD_MN008","1303","201902071500","2.1","3","0"
"TD_MN008","1303","201902071600","1.6","3","0"
"TD_MN008","1303","201902071700","2.6","3","0"
"TD_MN008","1303","201902071800","2.1","3","0"
"TD_MN008","1303","201902071900","1.9","3","0"
"TD_MN008","1303","201902072000","2.3","3","0"
"TD_MN008","1303","201902072100","2.5","3","0"
"TD_MN008","1303","201902072200","2.5","3","0"
"TD_MN008","1303","201902072300","2.4","3","0"
"TD_MN008","1303","201902080000","2.4","3","0"
"TD_MN008","1303","201902080100","2.5","3","0"
"TD_MN008","1303","201902080200","2.4","3","0"
"TD_MN008","1303","201902080300","2.4","3","0"
"TD_MN008","1303","201902080400","2.7","3","0"
"TD_MN008","1303","201902080500","3","3","0"
"TD_MN008","1303","201902080600","3.3","3","0"
"TD_MN008","1303","201902080700","3.1","3","0"
"TD_MN008","1303","201902080800","2.9","3","0"
"TD_MN008","1303","201902080900","3","3","0"
"TD_MN008","1303","201902081000","3.2","3","0"
"TD_MN008","1303","201902081100","3.6","3","0"
"TD_MN008","1303","201902081200","3.9","3","0"
"TD_MN008","1303","201902081300","4.5","3","0"
"TD_MN008","1303","201902081400","4.4","3","0"
"TD_MN008","1303","201902081500","4.2","3","0"
