"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TE100_MN002","1303","201902010000","4.6","3","0"
"TE100_MN002","1303","201902010100","4.6","3","0"
"TE100_MN002","1303","201902010200","4.6","3","0"
"TE100_MN002","1303","201902010300","4.6","3","0"
"TE100_MN002","1303","201902010400","4.6","3","0"
"TE100_MN002","1303","201902010500","4.6","3","0"
"TE100_MN002","1303","201902010600","4.6","3","0"
"TE100_MN002","1303","201902010700","4.6","3","0"
"TE100_MN002","1303","201902010800","4.6","3","0"
"TE100_MN002","1303","201902010900","4.6","3","0"
"TE100_MN002","1303","201902011000","4.6","3","0"
"TE100_MN002","1303","201902011100","4.6","3","0"
"TE100_MN002","1303","201902011200","4.5","3","0"
"TE100_MN002","1303","201902011300","4.5","3","0"
"TE100_MN002","1303","201902011400","4.5","3","0"
"TE100_MN002","1303","201902011500","4.5","3","0"
"TE100_MN002","1303","201902011600","4.5","3","0"
"TE100_MN002","1303","201902011700","4.5","3","0"
"TE100_MN002","1303","201902011800","4.5","3","0"
"TE100_MN002","1303","201902011900","4.5","3","0"
"TE100_MN002","1303","201902012000","4.5","3","0"
"TE100_MN002","1303","201902012100","4.5","3","0"
"TE100_MN002","1303","201902012200","4.5","3","0"
"TE100_MN002","1303","201902012300","4.5","3","0"
"TE100_MN002","1303","201902020000","4.5","3","0"
"TE100_MN002","1303","201902020100","4.5","3","0"
"TE100_MN002","1303","201902020200","4.5","3","0"
"TE100_MN002","1303","201902020300","4.5","3","0"
"TE100_MN002","1303","201902020400","4.5","3","0"
"TE100_MN002","1303","201902020500","4.5","3","0"
"TE100_MN002","1303","201902020600","4.5","3","0"
"TE100_MN002","1303","201902020700","4.5","3","0"
"TE100_MN002","1303","201902020800","4.5","3","0"
"TE100_MN002","1303","201902020900","4.5","3","0"
"TE100_MN002","1303","201902021000","4.5","3","0"
"TE100_MN002","1303","201902021100","4.5","3","0"
"TE100_MN002","1303","201902021200","4.5","3","0"
"TE100_MN002","1303","201902021300","4.5","3","0"
"TE100_MN002","1303","201902021400","4.5","3","0"
"TE100_MN002","1303","201902021500","4.4","3","0"
"TE100_MN002","1303","201902021600","4.4","3","0"
"TE100_MN002","1303","201902021700","4.4","3","0"
"TE100_MN002","1303","201902021800","4.4","3","0"
"TE100_MN002","1303","201902021900","4.4","3","0"
"TE100_MN002","1303","201902022000","4.4","3","0"
"TE100_MN002","1303","201902022100","4.4","3","0"
"TE100_MN002","1303","201902022200","4.4","3","0"
"TE100_MN002","1303","201902022300","4.4","3","0"
"TE100_MN002","1303","201902030000","4.4","3","0"
"TE100_MN002","1303","201902030100","4.4","3","0"
"TE100_MN002","1303","201902030200","4.4","3","0"
"TE100_MN002","1303","201902030300","4.4","3","0"
"TE100_MN002","1303","201902030400","4.4","3","0"
"TE100_MN002","1303","201902030500","4.4","3","0"
"TE100_MN002","1303","201902030600","4.4","3","0"
"TE100_MN002","1303","201902030700","4.4","3","0"
"TE100_MN002","1303","201902030800","4.4","3","0"
"TE100_MN002","1303","201902030900","4.4","3","0"
"TE100_MN002","1303","201902031000","4.4","3","0"
"TE100_MN002","1303","201902031100","4.4","3","0"
"TE100_MN002","1303","201902031200","4.4","3","0"
"TE100_MN002","1303","201902031300","4.4","3","0"
"TE100_MN002","1303","201902031400","4.4","3","0"
"TE100_MN002","1303","201902031500","4.4","3","0"
"TE100_MN002","1303","201902031600","4.4","3","0"
"TE100_MN002","1303","201902031700","4.3","3","0"
"TE100_MN002","1303","201902031800","4.3","3","0"
"TE100_MN002","1303","201902031900","4.3","3","0"
"TE100_MN002","1303","201902032000","4.3","3","0"
"TE100_MN002","1303","201902032100","4.3","3","0"
"TE100_MN002","1303","201902032200","4.3","3","0"
"TE100_MN002","1303","201902032300","4.3","3","0"
"TE100_MN002","1303","201902040000","4.3","3","0"
"TE100_MN002","1303","201902040100","4.3","3","0"
"TE100_MN002","1303","201902040200","4.3","3","0"
"TE100_MN002","1303","201902040300","4.3","3","0"
"TE100_MN002","1303","201902040400","4.3","3","0"
"TE100_MN002","1303","201902040500","4.3","3","0"
"TE100_MN002","1303","201902040600","4.3","3","0"
"TE100_MN002","1303","201902040700","4.3","3","0"
"TE100_MN002","1303","201902040800","4.3","3","0"
"TE100_MN002","1303","201902040900","4.3","3","0"
