"Produkt_Code","Produkt_Titel","Einheit","Beschreibung_DWD","Beschreibung_Inspire"
"TT_TU_MN009","Hourly station observations of air temperature at 2 m above ground in °C","°C","https://cdc.dwd.de/sdi/pid/TT_TU_MN009/DESCRIPTION_TT_TU_MN009_en.pdf","https://cdc.dwd.de/sdi/pid/TT_TU_MN009/ISO_TT_TU_MN009.xml"
"TD_MN008","Hourly station observations of dew point temperature 2 m above ground in °C","°C","https://cdc.dwd.de/sdi/pid/TD_MN008/DESCRIPTION_TD_MN008_en.pdf","https://cdc.dwd.de/sdi/pid/TD_MN008/ISO_TD_MN008.xml"
"RF_TU_MN009","Hourly station observations of relative humidity in %","%","https://cdc.dwd.de/sdi/pid/RF_TU_MN009/DESCRIPTION_RF_TU_MN009_en.pdf","https://cdc.dwd.de/sdi/pid/RF_TU_MN009/ISO_RF_TU_MN009.xml"
"R1_MN008","Hourly station observations of precipitation amount in mm","mm","https://cdc.dwd.de/sdi/pid/R1_MN008/DESCRIPTION_R1_MN008_en.pdf","https://cdc.dwd.de/sdi/pid/R1_MN008/ISO_R1_MN008.xml"
"WRTR_MN008","Hourly station observations of form of precipitation (WR code)","numerical code","https://cdc.dwd.de/sdi/pid/WRTR_MN008/DESCRIPTION_WRTR_MN008_en.pdf","https://cdc.dwd.de/sdi/pid/WRTR_MN008/ISO_WRTR_MN008.xml"
"RS_IND_MN008","Hourly station observations of index whether precipitation has fallen","numerical code","https://cdc.dwd.de/sdi/pid/RS_IND_MN008/DESCRIPTION_RS_IND_MN008_en.pdf","https://cdc.dwd.de/sdi/pid/RS_IND_MN008/ISO_RS_IND_MN008.xml"
"FF_MN008","Hourly station observations of wind velocity 10 m above ground in m/s","m/s","https://cdc.dwd.de/sdi/pid/FF_MN008/DESCRIPTION_FF_MN008_en.pdf","https://cdc.dwd.de/sdi/pid/FF_MN008/ISO_FF_MN008.xml"
"DD_MN008","Hourly station observations of wind direction 10 m above ground in degree","degree","https://cdc.dwd.de/sdi/pid/DD_MN008/DESCRIPTION_DD_MN008_en.pdf","https://cdc.dwd.de/sdi/pid/DD_MN008/ISO_DD_MN008.xml"
"F_MN003","Hourly mean of station observations of wind speed ca. 10 m above ground in m/s","m/s","https://cdc.dwd.de/sdi/pid/F_MN003/DESCRIPTION_F_MN003_en.pdf","https://cdc.dwd.de/sdi/pid/F_MN003/ISO_F_MN003.xml"
"D_MN003","Hourly mean of station observations of wind direction at ca. 10 m above ground in degree","degree","https://cdc.dwd.de/sdi/pid/D_MN003/DESCRIPTION_D_MN003_en.pdf","https://cdc.dwd.de/sdi/pid/D_MN003/ISO_D_MN003.xml"
"P0_MN008","Hourly station observations of air pressure at station level in hpa","hpa","https://cdc.dwd.de/sdi/pid/P0_MN008/DESCRIPTION_P0_MN008_en.pdf","https://cdc.dwd.de/sdi/pid/P0_MN008/ISO_P0_MN008.xml"
"P_MN008","Hourly station observations of air pressure at mean sea level in hpa","hpa","https://cdc.dwd.de/sdi/pid/P_MN008/DESCRIPTION_P_MN008_en.pdf","https://cdc.dwd.de/sdi/pid/P_MN008/ISO_P_MN008.xml"
"N_MN008","Hourly station observations of cloud coverage in eighths","eighth","https://cdc.dwd.de/sdi/pid/N_MN008/DESCRIPTION_N_MN008_en.pdf","https://cdc.dwd.de/sdi/pid/N_MN008/ISO_N_MN008.xml"
"TE05_MN002","Hourly station observations of soil temperature at the depth of 5 cm in °C","°C","https://cdc.dwd.de/sdi/pid/TE05_MN002/DESCRIPTION_TE05_MN002_en.pdf","https://cdc.dwd.de/sdi/pid/TE05_MN002/ISO_TE05_MN002.xml"
"TE10_MN002","Hourly station observations of soil temperature at the depth of 10 cm in °C","°C","https://cdc.dwd.de/sdi/pid/TE10_MN002/DESCRIPTION_TE10_MN002_en.pdf","https://cdc.dwd.de/sdi/pid/TE10_MN002/ISO_TE10_MN002.xml"
"TE20_MN002","Hourly station observations of soil temperature at the depth of 20 cm in °C","°C","https://cdc.dwd.de/sdi/pid/TE20_MN002/DESCRIPTION_TE20_MN002_en.pdf","https://cdc.dwd.de/sdi/pid/TE20_MN002/ISO_TE20_MN002.xml"
"TE50_MN002","Hourly station observations of soil temperature at the depth of 50 cm in °C","°C","https://cdc.dwd.de/sdi/pid/TE50_MN002/DESCRIPTION_TE50_MN002_en.pdf","https://cdc.dwd.de/sdi/pid/TE50_MN002/ISO_TE50_MN002.xml"
"TE100_MN002","Hourly station observations of soil temperature at the depth of 100 cm in °C","°C","https://cdc.dwd.de/sdi/pid/TE100_MN002/DESCRIPTION_TE100_MN002_en.pdf","https://cdc.dwd.de/sdi/pid/TE100_MN002/ISO_TE100_MN002.xml"
